Crop_Year,State,Crop,Season,Area_1000_ha,Production_1000_tonnes,Yield_tonnes_per_ha,Annual_Rainfall_mm,Irrigation_pct
2001,Bihar,Pulses,Rabi,559.9,296.7,0.53,53.9,42.4
2022,Rajasthan,Maize,Kharif,960.0,1766.4,1.84,443.0,18.6
2011,Gujarat,Cotton,Kharif,2459.9,3173.3,1.29,604.1,53.0
2002,Andhra Pradesh,Maize,Kharif,783.6,1661.2,2.12,415.4,54.3
2004,Uttar Pradesh,Millets,Kharif,781.8,602.0,0.77,879.5,20.1
2007,Maharashtra,Sugarcane,Kharif,959.3,63121.9,65.8,711.7,91.3
2018,Uttar Pradesh,Sugarcane,Kharif,2509.9,165703.6,66.02,590.6,93.7
2014,Andhra Pradesh,Coconut,Kharif,110.1,931.4,8.46,367.3,62.1
2003,Tamil Nadu,Tea,Kharif,71.3,131.9,1.85,1677.9,28.7
2006,Madhya Pradesh,Millets,Kharif,501.0,315.6,0.63,954.1,4.2
2017,Haryana,Sugarcane,Kharif,113.3,7883.4,69.58,477.4,96.3
2004,Tamil Nadu,Coffee,Kharif,36.2,26.1,0.72,1508.0,19.3
2009,West Bengal,Oilseeds,Rabi,389.8,261.2,0.67,28.1,29.3
2002,Rajasthan,Maize,Kharif,948.0,730.0,0.77,308.3,16.7
2021,Karnataka,Tobacco,Rabi,76.2,102.1,1.34,153.3,71.3
2003,Uttar Pradesh,Millets,Kharif,987.9,711.3,0.72,807.0,18.6
2007,Haryana,Cotton,Kharif,642.3,668.0,1.04,259.7,87.2
2001,Uttar Pradesh,Fruits,Kharif,458.0,5234.9,11.43,979.3,59.7
2004,Kerala,Fruits,Kharif,242.8,1920.5,7.91,2048.5,28.2
2016,Karnataka,Millets,Kharif,1802.4,2253.0,1.25,733.9,19.7
2020,Uttar Pradesh,Sugarcane,Kharif,2139.1,166657.3,77.91,910.3,95.4
2021,Rajasthan,Soybean,Kharif,1120.0,1276.8,1.14,439.2,9.0
2021,Karnataka,Fruits,Kharif,530.9,6031.0,11.36,669.0,47.4
2007,Bihar,Rice,Kharif,3604.4,5370.6,1.49,956.5,58.5
2016,Maharashtra,Vegetables,Kharif,769.6,10920.6,14.19,880.9,44.2
2004,Chhattisgarh,Rice,Kharif,3589.8,4487.2,1.25,1331.1,25.4
2021,Maharashtra,Vegetables,Kharif,844.8,13170.4,15.59,752.8,45.0
2017,Tamil Nadu,Vegetables,Kharif,408.9,7454.2,18.23,426.6,59.5
2011,Gujarat,Groundnut,Kharif,1681.9,2556.5,1.52,578.3,39.7
2014,Haryana,Wheat,Rabi,2749.0,11793.2,4.29,68.5,93.9
2004,Haryana,Wheat,Rabi,2518.2,11533.4,4.58,116.3,98.6
2007,West Bengal,Oilseeds,Rabi,405.4,320.3,0.79,55.2,28.7
2018,Uttar Pradesh,Vegetables,Rabi,1173.2,22384.7,19.08,117.6,68.3
2013,Tamil Nadu,Coffee,Kharif,35.0,25.9,0.74,1577.1,23.7
2001,Rajasthan,Spices,Rabi,39.7,38.5,0.97,28.5,69.1
2009,Karnataka,Tobacco,Rabi,65.3,69.2,1.06,70.0,68.7
2010,Uttar Pradesh,Pulses,Rabi,2741.8,2111.2,0.77,72.5,50.2
2010,Andhra Pradesh,Cotton,Kharif,636.0,636.0,1.0,511.0,46.1
2019,Maharashtra,Vegetables,Kharif,885.2,11366.0,12.84,1108.5,50.0
2019,Madhya Pradesh,Oilseeds,Rabi,718.7,632.5,0.88,69.0,54.9
2022,Kerala,Fruits,Kharif,281.1,2870.0,10.21,1826.2,23.6
2005,Kerala,Rice,Kharif,253.6,537.6,2.12,3886.3,41.8
2009,Gujarat,Vegetables,Rabi,603.7,8626.9,14.29,36.6,79.9
2018,Kerala,Fruits,Kharif,257.1,2308.8,8.98,1499.3,28.3
2008,Maharashtra,Rice,Kharif,1400.6,2311.0,1.65,1136.3,16.8
2019,Madhya Pradesh,Pulses,Rabi,3420.8,2531.4,0.74,57.5,18.4
2006,Tamil Nadu,Millets,Kharif,399.1,530.8,1.33,428.4,40.4
2019,Maharashtra,Soybean,Kharif,4235.8,3812.2,0.9,1353.7,3.0
2009,Tamil Nadu,Coffee,Kharif,35.6,23.5,0.66,948.9,18.4
2010,Maharashtra,Rice,Kharif,1647.0,2882.2,1.75,1236.7,19.7
2010,Karnataka,Maize,Kharif,1265.6,4062.6,3.21,770.5,29.0
2005,Andhra Pradesh,Fruits,Kharif,750.8,6599.5,8.79,784.6,53.8
2013,Tamil Nadu,Spices,Kharif,88.3,144.8,1.64,1234.7,24.2
2010,Kerala,Tea,Kharif,32.9,60.9,1.85,2616.4,8.0
2014,Jharkhand,Rice,Kharif,1457.3,2521.1,1.73,718.3,15.6
2006,Andhra Pradesh,Rice,Kharif,2131.7,6096.7,2.86,693.3,91.2
2011,Haryana,Oilseeds,Rabi,588.1,711.6,1.21,41.8,86.6
2001,Gujarat,Wheat,Rabi,1216.1,3015.9,2.48,32.7,87.1
2008,Rajasthan,Spices,Rabi,35.8,39.0,1.09,27.0,69.5
2008,Tamil Nadu,Sugarcane,Kharif,337.0,36176.9,107.35,419.8,95.6
2017,Andhra Pradesh,Groundnut,Kharif,1164.9,1712.4,1.47,583.5,32.6
2014,Gujarat,Rice,Kharif,703.7,1351.1,1.92,574.4,48.3
2013,Gujarat,Fruits,Kharif,365.8,3321.5,9.08,841.5,54.5
2006,Bihar,Pulses,Rabi,515.7,324.9,0.63,49.8,42.4
2013,West Bengal,Rice,Kharif,4063.9,10403.6,2.56,1886.7,37.3
2014,Andhra Pradesh,Rice,Rabi,1515.1,5378.6,3.55,154.1,97.4
2005,Karnataka,Millets,Kharif,1749.8,1504.8,0.86,904.5,16.4
2014,Karnataka,Groundnut,Kharif,910.2,837.4,0.92,240.7,21.9
2022,West Bengal,Jute,Kharif,602.9,1549.5,2.57,1641.7,21.8
2011,Punjab,Rice,Kharif,3203.9,12879.7,4.02,689.5,99.8
2008,Madhya Pradesh,Oilseeds,Rabi,702.0,589.7,0.84,32.7,54.9
2015,Karnataka,Coffee,Kharif,283.6,277.9,0.98,852.9,33.7
2003,Madhya Pradesh,Oilseeds,Rabi,725.0,565.5,0.78,49.9,55.9
2014,Maharashtra,Rice,Kharif,1706.1,2883.3,1.69,738.4,21.6
2011,Chhattisgarh,Pulses,Kharif,369.4,169.9,0.46,1142.5,4.6
2016,Andhra Pradesh,Maize,Kharif,832.9,3414.9,4.1,688.6,53.9
2004,Gujarat,Wheat,Rabi,1012.5,2561.6,2.53,27.9,90.9
2007,Andhra Pradesh,Coconut,Kharif,97.6,843.3,8.64,441.4,64.7
2004,Karnataka,Cotton,Kharif,556.2,255.9,0.46,736.7,19.4
2021,Andhra Pradesh,Rice,Rabi,1306.4,5042.7,3.86,162.9,92.2
2018,Andhra Pradesh,Spices,Kharif,69.7,103.9,1.49,456.5,28.8
2013,Uttar Pradesh,Sugarcane,Kharif,2288.0,152037.6,66.45,1257.5,94.0
2011,Telangana,Pulses,Rabi,470.2,277.4,0.59,91.4,17.2
2004,Maharashtra,Soybean,Kharif,3518.0,2955.1,0.84,685.1,4.6
2006,Madhya Pradesh,Groundnut,Kharif,213.3,181.3,0.85,851.5,6.8
2014,Madhya Pradesh,Wheat,Rabi,4845.5,10272.5,2.12,95.2,74.1
2008,West Bengal,Oilseeds,Rabi,373.6,302.6,0.81,51.5,29.7
2017,Andhra Pradesh,Sugarcane,Kharif,221.5,16639.1,75.12,562.0,96.8
2009,Andhra Pradesh,Tobacco,Rabi,148.2,194.1,1.31,55.4,77.5
2007,Karnataka,Fruits,Kharif,518.4,4722.6,9.11,531.9,45.8
2005,Karnataka,Cotton,Kharif,501.0,200.4,0.4,753.7,17.9
2017,Rajasthan,Spices,Rabi,42.8,55.6,1.3,31.2,69.6
2017,Haryana,Millets,Kharif,479.3,565.6,1.18,443.7,15.3
2016,Kerala,Coffee,Kharif,87.2,76.7,0.88,2191.8,14.1
2004,Maharashtra,Rice,Kharif,1250.9,2039.0,1.63,1038.1,18.1
2009,Punjab,Rice,Kharif,2732.1,8496.8,3.11,432.2,100
2017,Rajasthan,Millets,Kharif,4628.7,4721.3,1.02,397.8,6.1
2011,Maharashtra,Millets,Kharif,2685.8,2336.6,0.87,639.6,6.5
2003,Andhra Pradesh,Rice,Rabi,1422.6,4694.6,3.3,183.1,94.1
2010,Madhya Pradesh,Oilseeds,Rabi,646.5,581.9,0.9,60.6,57.9
2005,Tamil Nadu,Sugarcane,Kharif,344.8,30066.6,87.2,530.5,97.5
2015,Gujarat,Fruits,Kharif,404.1,3879.4,9.6,423.1,59.4
2011,Madhya Pradesh,Maize,Kharif,721.9,1378.8,1.91,1063.3,27.1
2012,Uttar Pradesh,Vegetables,Rabi,1242.6,23013.0,18.52,190.7,74.7
2012,Punjab,Wheat,Rabi,3639.3,17031.9,4.68,168.3,98.5
2009,Karnataka,Coffee,Kharif,255.5,191.6,0.75,877.7,29.5
2016,Maharashtra,Wheat,Rabi,970.3,1542.8,1.59,49.9,74.9
2013,Uttarakhand,Wheat,Rabi,393.3,810.2,2.06,148.8,69.9
2008,Karnataka,Coconut,Kharif,525.8,3796.3,7.22,1013.9,45.0
2005,Andhra Pradesh,Rice,Rabi,1307.5,3791.8,2.9,290.5,96.9
2002,Madhya Pradesh,Maize,Kharif,924.3,1146.1,1.24,425.4,25.7
2002,Uttar Pradesh,Rice,Kharif,6492.4,10647.5,1.64,520.3,70.2
2016,Goa,Coconut,Kharif,30.8,240.5,7.81,3005.5,12.5
2008,Madhya Pradesh,Maize,Kharif,924.1,1561.7,1.69,995.5,24.6
2015,Andhra Pradesh,Tobacco,Rabi,171.2,255.1,1.49,48.1,75.8
2005,Gujarat,Sugarcane,Kharif,224.8,12701.2,56.5,980.4,98.1
2003,Tamil Nadu,Millets,Kharif,389.1,509.7,1.31,476.3,40.5
2017,Gujarat,Rice,Kharif,910.4,2130.3,2.34,677.1,52.4
2005,Madhya Pradesh,Soybean,Kharif,5282.8,4490.4,0.85,1372.0,7.4
2020,Gujarat,Sugarcane,Kharif,226.4,16024.6,70.78,706.1,97.9
2014,Uttar Pradesh,Vegetables,Rabi,1237.5,20468.2,16.54,107.1,71.1
2017,Madhya Pradesh,Oilseeds,Rabi,653.6,699.4,1.07,41.3,55.2
2018,Kerala,Spices,Kharif,280.6,597.7,2.13,1478.9,9.9
2009,Gujarat,Pulses,Kharif,412.5,222.8,0.54,300.4,14.5
2007,Karnataka,Sugarcane,Kharif,500.2,35844.3,71.66,672.3,99.0
2020,Kerala,Coconut,Kharif,850.4,8257.4,9.71,1843.8,28.0
2018,Tamil Nadu,Fruits,Kharif,417.6,5286.8,12.66,434.3,61.1
2010,Gujarat,Groundnut,Kharif,1686.0,2562.7,1.52,442.7,37.5
2007,Assam,Tea,Kharif,354.9,631.7,1.78,1503.8,14.2
2001,Uttar Pradesh,Sugarcane,Kharif,2120.9,122482.0,57.75,1035.4,91.9
2011,Rajasthan,Wheat,Rabi,3221.0,9856.3,3.06,47.0,85.1
2011,Andhra Pradesh,Groundnut,Kharif,1249.2,1611.5,1.29,469.0,29.6
2008,Kerala,Coconut,Kharif,932.7,7666.8,8.22,2428.4,33.1
2005,Madhya Pradesh,Rice,Kharif,1855.9,1800.2,0.97,1297.2,26.3
2015,Haryana,Millets,Kharif,477.3,491.6,1.03,188.0,15.6
2010,Gujarat,Rice,Kharif,674.5,1295.0,1.92,884.1,47.8
2011,Rajasthan,Soybean,Kharif,1005.8,995.7,0.99,338.6,10.9
2005,Telangana,Cotton,Kharif,1624.6,1007.3,0.62,964.4,36.5
2016,Haryana,Wheat,Rabi,3097.4,14960.4,4.83,109.2,98.8
2008,Uttar Pradesh,Oilseeds,Rabi,795.1,763.3,0.96,62.6,79.4
2010,Haryana,Rice,Kharif,1171.3,3877.0,3.31,566.0,98.1
2008,Maharashtra,Sugarcane,Kharif,884.6,63487.7,71.77,613.0,93.0
2001,Kerala,Tea,Kharif,35.5,61.8,1.74,2677.9,8.1
2017,Madhya Pradesh,Pulses,Rabi,3267.0,2515.6,0.77,50.8,22.0
2014,Gujarat,Fruits,Kharif,439.9,4236.2,9.63,314.5,52.6
2015,Karnataka,Spices,Kharif,180.7,323.5,1.79,666.0,20.6
2020,Uttar Pradesh,Vegetables,Rabi,1129.4,23141.4,20.49,210.0,68.1
2002,Andhra Pradesh,Spices,Kharif,65.5,64.2,0.98,426.0,32.6
2017,Rajasthan,Groundnut,Kharif,630.0,869.4,1.38,301.7,34.4
2003,Madhya Pradesh,Wheat,Rabi,4589.1,7617.9,1.66,97.8,71.9
2002,Bihar,Vegetables,Kharif,886.7,8884.7,10.02,478.9,38.6
2013,Karnataka,Vegetables,Kharif,555.7,6979.6,12.56,1467.5,44.2
2018,Madhya Pradesh,Wheat,Rabi,4926.2,12709.6,2.58,50.6,74.9
2002,Tamil Nadu,Sugarcane,Kharif,352.4,27758.5,78.77,312.1,100
2008,Rajasthan,Millets,Kharif,4509.2,2885.9,0.64,354.0,6.7
2005,Andhra Pradesh,Sugarcane,Kharif,168.1,10684.4,63.56,886.0,97.4
2017,Gujarat,Millets,Kharif,825.5,1081.4,1.31,452.3,8.9
2003,Uttar Pradesh,Pulses,Rabi,1810.0,1267.0,0.7,67.9,49.8
2017,West Bengal,Jute,Kharif,674.2,1672.0,2.48,1192.3,20.6
2002,Odisha,Rice,Kharif,3638.3,3856.6,1.06,959.2,32.0
2020,Tamil Nadu,Groundnut,Kharif,577.0,1171.3,2.03,342.4,48.9
2014,Maharashtra,Groundnut,Kharif,395.7,399.7,1.01,318.1,16.0
2001,Punjab,Cotton,Kharif,526.8,542.6,1.03,370.3,95.9
2012,Telangana,Maize,Kharif,458.1,1314.7,2.87,588.5,38.4
2003,Rajasthan,Spices,Rabi,34.2,33.9,0.99,39.5,68.2
2018,Punjab,Sugarcane,Kharif,114.2,7166.1,62.75,291.2,96.1
2007,Karnataka,Soybean,Kharif,336.7,276.1,0.82,675.1,7.7
2004,Uttarakhand,Wheat,Rabi,332.2,674.4,2.03,151.4,71.3
2006,Gujarat,Millets,Kharif,905.2,941.4,1.04,517.9,10.7
2002,Madhya Pradesh,Rice,Kharif,1803.1,1496.6,0.83,622.5,25.6
2012,Tamil Nadu,Vegetables,Kharif,453.0,8253.7,18.22,519.8,63.7
2019,Andhra Pradesh,Tobacco,Rabi,138.3,208.8,1.51,154.9,77.9
2013,Odisha,Rice,Kharif,3555.7,5440.2,1.53,1685.0,32.3
2021,Karnataka,Soybean,Kharif,293.9,267.4,0.91,804.4,10.8
2012,Rajasthan,Maize,Kharif,981.1,1412.8,1.44,544.8,19.4
2022,Bihar,Maize,Kharif,626.6,1879.8,3.0,1077.2,39.5
2022,Tamil Nadu,Vegetables,Kharif,415.5,7848.8,18.89,591.4,60.6
2006,Kerala,Fruits,Kharif,288.6,2381.0,8.25,2057.2,27.5
2020,Maharashtra,Pulses,Kharif,3424.7,2705.5,0.79,668.0,10.0
2008,Tamil Nadu,Fruits,Kharif,369.7,4188.7,11.33,431.7,60.3
2014,Odisha,Rice,Kharif,3769.8,6559.5,1.74,742.5,26.8
2020,Assam,Rice,Kharif,2779.3,6003.3,2.16,1537.0,11.7
2017,Andhra Pradesh,Spices,Kharif,59.8,93.9,1.57,690.1,30.5
2001,Rajasthan,Oilseeds,Rabi,2630.3,2262.1,0.86,41.5,72.7
2020,Maharashtra,Sugarcane,Kharif,1149.2,94154.0,81.93,788.9,91.9
2004,Andhra Pradesh,Rice,Rabi,1221.7,3921.7,3.21,226.7,95.3
2018,Odisha,Rice,Kharif,4175.4,6847.7,1.64,981.5,28.7
2002,Kerala,Coconut,Kharif,854.0,5380.2,6.3,1129.6,27.4
2006,Andhra Pradesh,Rice,Rabi,1356.8,4843.8,3.57,169.6,96.6
2003,Tamil Nadu,Sugarcane,Kharif,352.7,33749.9,95.69,526.1,100
2020,West Bengal,Oilseeds,Rabi,349.7,332.2,0.95,47.8,29.0
2006,Madhya Pradesh,Cotton,Kharif,659.1,362.5,0.55,697.3,14.0
2006,Tamil Nadu,Coffee,Kharif,33.6,24.9,0.74,1295.8,20.7
2008,Tamil Nadu,Rice,Rabi,690.7,2569.4,3.72,478.1,100
2002,Uttar Pradesh,Oilseeds,Rabi,849.4,501.1,0.59,51.0,81.8
2004,Maharashtra,Cotton,Kharif,3802.6,2053.4,0.54,899.2,8.4
2015,Telangana,Cotton,Kharif,1937.7,2209.0,1.14,448.5,38.1
2003,Punjab,Cotton,Kharif,459.3,482.3,1.05,361.8,98.6
2016,West Bengal,Oilseeds,Rabi,400.3,368.3,0.92,37.8,29.9
2004,Andhra Pradesh,Groundnut,Kharif,1296.0,1451.5,1.12,452.3,26.7
2018,Rajasthan,Spices,Rabi,46.2,60.1,1.3,18.2,68.5
2011,Punjab,Sugarcane,Kharif,109.8,7460.9,67.95,488.3,100
2022,Andhra Pradesh,Rice,Rabi,1636.2,6413.9,3.92,192.1,89.8
2018,Karnataka,Millets,Kharif,1835.4,2202.5,1.2,461.5,14.4
2007,Gujarat,Tobacco,Rabi,94.6,124.9,1.32,27.9,85.2
2004,Rajasthan,Groundnut,Kharif,643.8,656.7,1.02,347.8,31.8
2008,Andhra Pradesh,Rice,Rabi,1238.7,4273.5,3.45,206.4,96.7
2005,Andhra Pradesh,Coconut,Kharif,110.4,814.8,7.38,912.9,63.1
2015,Madhya Pradesh,Cotton,Kharif,679.0,563.6,0.83,550.9,16.2
2017,Karnataka,Spices,Kharif,181.2,351.5,1.94,1095.3,17.0
2004,Kerala,Coffee,Kharif,85.7,66.8,0.78,2595.0,14.6
2019,Gujarat,Vegetables,Rabi,534.8,8316.1,15.55,70.8,82.3
2015,Haryana,Oilseeds,Rabi,523.7,654.6,1.25,26.1,79.6
2006,Uttarakhand,Wheat,Rabi,334.3,738.8,2.21,106.9,69.7
2014,Karnataka,Soybean,Kharif,316.4,243.6,0.77,413.7,8.0
2005,Tamil Nadu,Fruits,Kharif,340.5,3510.6,10.31,674.3,60.1
2014,Kerala,Fruits,Kharif,279.6,2443.7,8.74,1654.4,22.1
2019,Uttar Pradesh,Fruits,Kharif,514.2,7152.5,13.91,1181.7,60.9
2003,Gujarat,Millets,Kharif,722.5,744.2,1.03,479.3,12.6
2021,Kerala,Fruits,Kharif,279.7,3031.9,10.84,2529.2,23.6
2010,Karnataka,Pulses,Rabi,2395.0,1341.2,0.56,155.0,15.2
2022,Bihar,Rice,Kharif,2948.4,6574.9,2.23,1113.1,53.4
2020,Rajasthan,Maize,Kharif,1019.5,1835.1,1.8,502.3,20.0
2012,Karnataka,Cotton,Kharif,484.5,358.5,0.74,557.6,20.7
2019,Andhra Pradesh,Sugarcane,Kharif,226.1,15494.6,68.53,922.2,98.9
2017,Tamil Nadu,Rice,Kharif,1728.2,6688.1,3.87,423.0,95.9
2002,Kerala,Rice,Kharif,276.1,555.0,2.01,1247.7,39.6
2007,Andhra Pradesh,Sugarcane,Kharif,212.6,15020.2,70.65,606.3,100
2013,Haryana,Oilseeds,Rabi,565.5,639.0,1.13,72.6,84.5
2019,Kerala,Fruits,Kharif,254.0,2179.3,8.58,2709.7,22.9
2016,Madhya Pradesh,Rice,Kharif,1673.7,2510.6,1.5,1060.2,26.1
2004,Andhra Pradesh,Tobacco,Rabi,147.4,197.5,1.34,111.6,84.6
2006,Punjab,Rice,Kharif,2962.1,11670.7,3.94,667.2,100.0
2009,Madhya Pradesh,Cotton,Kharif,692.0,436.0,0.63,520.5,14.4
2003,Andhra Pradesh,Sugarcane,Kharif,206.7,14125.9,68.34,579.0,98.7
2011,Maharashtra,Pulses,Kharif,3732.4,2426.1,0.65,727.8,10.5
2012,Gujarat,Fruits,Kharif,432.3,4089.6,9.46,484.6,52.2
2021,Uttar Pradesh,Vegetables,Rabi,1280.0,23321.6,18.22,253.8,68.7
2004,Karnataka,Rice,Kharif,1142.4,2913.1,2.55,996.5,64.1
2015,Gujarat,Pulses,Kharif,434.0,273.4,0.63,361.1,17.0
2013,Bihar,Maize,Kharif,675.4,1648.0,2.44,1260.2,37.0
2019,Madhya Pradesh,Maize,Kharif,976.0,1844.6,1.89,967.1,26.3
2008,Karnataka,Groundnut,Kharif,849.3,764.4,0.9,433.9,20.0
2021,Andhra Pradesh,Millets,Kharif,409.1,499.1,1.22,505.6,23.4
2002,Andhra Pradesh,Coconut,Kharif,125.0,810.0,6.48,436.3,65.4
2018,Tamil Nadu,Rice,Rabi,840.2,2848.3,3.39,215.5,95.5
2012,Kerala,Rice,Kharif,266.9,752.7,2.82,1833.9,37.1
2004,Gujarat,Pulses,Kharif,412.0,239.0,0.58,516.7,12.6
2010,Tamil Nadu,Groundnut,Kharif,533.8,891.4,1.67,333.9,48.2
2013,West Bengal,Wheat,Rabi,425.3,973.9,2.29,117.0,48.4
2002,Telangana,Cotton,Kharif,1624.4,796.0,0.49,571.8,34.5
2015,Andhra Pradesh,Coconut,Kharif,115.8,992.4,8.57,193.1,64.2
2012,Karnataka,Tobacco,Rabi,67.8,90.9,1.34,122.3,71.1
2016,Rajasthan,Groundnut,Kharif,673.0,888.4,1.32,435.0,28.5
2019,Uttar Pradesh,Wheat,Rabi,10669.3,27846.9,2.61,311.0,86.8
2007,Maharashtra,Fruits,Kharif,1010.0,10322.2,10.22,778.6,52.3
2016,Madhya Pradesh,Millets,Kharif,458.7,376.1,0.82,820.8,5.0
2008,West Bengal,Vegetables,Kharif,1152.1,18088.0,15.7,1380.3,35.7
2001,Maharashtra,Soybean,Kharif,4280.1,3509.7,0.82,641.0,6.0
2016,West Bengal,Jute,Kharif,553.1,1344.0,2.43,977.6,19.9
2007,Rajasthan,Groundnut,Kharif,623.8,661.2,1.06,354.1,32.7
2021,West Bengal,Wheat,Rabi,422.6,1208.6,2.86,92.3,49.3
2016,Gujarat,Fruits,Kharif,403.5,4454.6,11.04,530.1,54.9
2012,Madhya Pradesh,Rice,Kharif,1979.7,2751.8,1.39,1246.1,27.0
2002,Punjab,Cotton,Kharif,482.6,400.6,0.83,222.9,96.2
2009,Bihar,Jute,Kharif,187.3,331.5,1.77,772.5,31.6
2013,Punjab,Wheat,Rabi,3871.4,17150.3,4.43,171.8,96.5
2005,Uttar Pradesh,Vegetables,Rabi,1184.5,17412.1,14.7,316.0,70.2
2017,Maharashtra,Cotton,Kharif,5246.1,5508.4,1.05,914.8,9.2
2018,Maharashtra,Rice,Kharif,1752.9,3313.0,1.89,874.6,20.7
2017,West Bengal,Wheat,Rabi,425.7,1187.7,2.79,89.1,49.1
2016,Uttarakhand,Wheat,Rabi,364.9,919.5,2.52,105.4,67.2
2018,Andhra Pradesh,Sugarcane,Kharif,228.6,15867.1,69.41,355.6,97.6
2001,Madhya Pradesh,Millets,Kharif,509.8,270.2,0.53,536.5,5.8
2002,Maharashtra,Cotton,Kharif,4240.9,1738.8,0.41,558.9,9.7
2006,Andhra Pradesh,Pulses,Rabi,711.0,391.1,0.55,109.8,23.5
2004,Bihar,Jute,Kharif,195.6,406.8,2.08,924.1,30.2
2012,Rajasthan,Cotton,Kharif,446.2,446.2,1.0,363.9,55.8
2011,West Bengal,Tea,Kharif,168.4,294.7,1.75,2315.5,12.7
2004,Rajasthan,Millets,Kharif,4080.0,2203.2,0.54,366.3,7.7
2019,Tamil Nadu,Vegetables,Kharif,426.6,7137.0,16.73,681.6,57.6
2015,Gujarat,Groundnut,Kharif,1718.3,2491.5,1.45,384.2,41.4
2008,Rajasthan,Pulses,Rabi,1780.5,997.1,0.56,28.0,28.4
2004,West Bengal,Vegetables,Kharif,1265.9,16785.8,13.26,990.8,35.4
2006,Tamil Nadu,Spices,Kharif,91.4,128.0,1.4,809.5,26.7
2014,Maharashtra,Soybean,Kharif,3355.1,3120.2,0.93,706.8,7.6
2016,Madhya Pradesh,Maize,Kharif,901.8,1984.0,2.2,941.4,20.5
2016,Uttar Pradesh,Pulses,Rabi,2577.9,2217.0,0.86,72.4,47.8
2012,Bihar,Rice,Kharif,3488.2,6871.8,1.97,1026.7,58.4
2017,Andhra Pradesh,Rice,Rabi,1514.1,6041.3,3.99,184.6,92.4
2005,Maharashtra,Groundnut,Kharif,376.4,301.1,0.8,968.3,12.5
2021,West Bengal,Jute,Kharif,632.6,1765.0,2.79,1769.2,18.2
2002,Tamil Nadu,Groundnut,Kharif,498.5,573.3,1.15,299.5,51.0
2021,Tamil Nadu,Fruits,Kharif,393.3,5620.3,14.29,434.2,59.1
2001,West Bengal,Tea,Kharif,150.9,238.4,1.58,2638.3,10.6
2007,Karnataka,Coffee,Kharif,266.1,228.8,0.86,1157.4,31.8
2014,Tamil Nadu,Tea,Kharif,71.8,135.0,1.88,1015.1,24.3
2014,Telangana,Soybean,Kharif,182.3,156.8,0.86,518.4,10.5
2002,West Bengal,Wheat,Rabi,431.0,831.8,1.93,54.6,49.6
2018,Chhattisgarh,Pulses,Kharif,361.0,202.2,0.56,638.1,3.6
2013,Madhya Pradesh,Oilseeds,Rabi,834.3,742.5,0.89,61.6,60.9
2008,Rajasthan,Cotton,Kharif,470.1,338.5,0.72,457.9,57.1
2020,Maharashtra,Millets,Kharif,2815.3,2815.3,1.0,618.5,7.8
2006,Assam,Rice,Kharif,2589.9,4402.8,1.7,1961.3,8.7
2022,Bihar,Pulses,Rabi,541.6,465.8,0.86,52.5,42.4
2005,Haryana,Rice,Kharif,1469.1,3834.4,2.61,1071.1,100
2002,Haryana,Rice,Kharif,1287.2,2883.3,2.24,510.2,98.2
2004,West Bengal,Oilseeds,Rabi,342.1,246.3,0.72,47.5,33.3
2021,Karnataka,Maize,Kharif,1416.4,5014.1,3.54,945.9,29.8
2004,Andhra Pradesh,Sugarcane,Kharif,184.1,13376.7,72.66,469.7,97.7
2016,Karnataka,Fruits,Kharif,517.1,5233.1,10.12,689.6,43.0
2013,Karnataka,Maize,Kharif,1205.4,3604.1,2.99,1001.5,29.6
2021,Gujarat,Fruits,Kharif,377.3,4263.5,11.3,505.4,52.9
2013,Telangana,Cotton,Kharif,1736.8,1702.1,0.98,1041.9,33.1
2002,Haryana,Sugarcane,Kharif,126.4,5540.1,43.83,249.0,95.1
2020,Rajasthan,Pulses,Rabi,1857.5,1170.2,0.63,19.8,31.3
2007,Maharashtra,Soybean,Kharif,3818.2,3512.7,0.92,948.6,3.6
2002,Chhattisgarh,Rice,Kharif,3885.9,3186.4,0.82,683.2,23.8
2003,Uttar Pradesh,Rice,Kharif,5870.8,11741.6,2.0,946.0,76.0
2011,Maharashtra,Vegetables,Kharif,799.4,9632.8,12.05,817.4,43.8
2014,Madhya Pradesh,Pulses,Rabi,3114.2,2179.9,0.7,35.9,17.8
2006,Kerala,Coffee,Kharif,79.9,63.1,0.79,1609.8,13.6
2008,Telangana,Cotton,Kharif,1909.5,1737.6,0.91,877.0,37.0
2008,Chhattisgarh,Pulses,Kharif,368.5,173.2,0.47,855.1,6.9
2022,Andhra Pradesh,Rice,Kharif,2161.6,8170.8,3.78,480.1,88.4
2006,Telangana,Cotton,Kharif,1697.2,1222.0,0.72,819.5,35.3
2015,Chhattisgarh,Rice,Kharif,3829.0,6777.3,1.77,695.5,26.0
2012,Bihar,Jute,Kharif,227.8,494.3,2.17,1062.4,27.5
2021,Gujarat,Oilseeds,Rabi,306.2,401.1,1.31,18.1,82.3
2018,Kerala,Coconut,Kharif,901.6,8312.8,9.22,1477.5,27.0
2008,Telangana,Maize,Kharif,377.5,1000.4,2.65,607.1,38.2
2017,Jharkhand,Rice,Kharif,1567.4,3025.1,1.93,1160.6,17.1
2015,Assam,Jute,Kharif,84.5,147.9,1.75,1069.4,6.7
2019,Karnataka,Soybean,Kharif,337.2,286.6,0.85,856.8,11.1
2015,Maharashtra,Vegetables,Kharif,779.5,10133.5,13.0,594.7,43.1
